20:26:27 | univest time 377340231.32 | altitude 67498.36 | apoapsis 150277.78 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:36:22 | univest time 377339581.09 | altitude 79.01 | apoapsis 79.01 | stage_3_fuel 2952.00 | stage_2_fuel 1413.00
20:36:32 | univest time 377339612.22 | altitude 2986.83 | apoapsis 5130.08 | stage_3_fuel 2046.05 | stage_2_fuel 1143.44
20:36:42 | univest time 377339649.10 | altitude 15788.52 | apoapsis 30764.29 | stage_3_fuel 935.57 | stage_2_fuel 813.02
20:36:52 | univest time 377339684.70 | altitude 41313.17 | apoapsis 98153.57 | stage_3_fuel 0.00 | stage_2_fuel 494.06
20:37:02 | univest time 377339723.50 | altitude 70590.58 | apoapsis 137288.67 | stage_3_fuel 0.00 | stage_2_fuel 171.17
20:37:12 | univest time 377339763.11 | altitude 94854.65 | apoapsis 150393.37 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:37:22 | univest time 377339953.26 | altitude 150228.24 | apoapsis 150393.37 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:37:32 | univest time 377339963.50 | altitude 150398.21 | apoapsis 150404.38 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:37:42 | univest time 377339975.84 | altitude 150385.16 | apoapsis 151221.37 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:37:52 | univest time 377340742.31 | altitude 149357.63 | apoapsis 151221.37 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:38:02 | univest time 377340769.74 | altitude 149401.51 | apoapsis 157379.93 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:38:12 | univest time 377340779.76 | altitude 150003.40 | apoapsis 1812958.08 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:38:22 | univest time 377340789.78 | altitude 151091.98 | apoapsis 12170080.66 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:38:32 | univest time 377357235.37 | altitude 10496295.48 | apoapsis 12170080.66 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:38:42 | univest time 377359328.16 | altitude 2156844.02 | apoapsis -2266066.74 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:38:52 | univest time 377362426.92 | altitude 1028199.26 | apoapsis -2266066.42 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:39:02 | univest time 377365006.98 | altitude 109457.36 | apoapsis -2266066.42 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:39:12 | univest time 377365016.54 | altitude 109336.57 | apoapsis -2266066.42 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:39:22 | univest time 377365027.12 | altitude 109337.72 | apoapsis 189715.20 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:22:19 | univest time 377365060.82 | altitude 79.06 | apoapsis 79.06 | stage_3_fuel 2952.00 | stage_2_fuel 1413.00
14:22:30 | univest time 377365090.03 | altitude 1116.53 | apoapsis 1182.11 | stage_3_fuel 2500.57 | stage_2_fuel 1278.68
14:22:40 | univest time 377365106.27 | altitude 67.80 | apoapsis 88.79 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:22:49 | univest time 377365057.86 | altitude 79.06 | apoapsis 79.06 | stage_3_fuel 2952.00 | stage_2_fuel 1413.00
14:22:59 | univest time 377365082.55 | altitude 1837.65 | apoapsis 3103.32 | stage_3_fuel 2239.88 | stage_2_fuel 1201.11
14:23:09 | univest time 377365121.59 | altitude 13675.14 | apoapsis 25591.44 | stage_3_fuel 1064.36 | stage_2_fuel 851.34
14:23:19 | univest time 377365156.31 | altitude 36350.83 | apoapsis 87888.41 | stage_3_fuel 18.92 | stage_2_fuel 540.27
14:23:29 | univest time 377365196.39 | altitude 65317.00 | apoapsis 124086.21 | stage_3_fuel 0.00 | stage_2_fuel 181.18
14:23:39 | univest time 377365235.95 | altitude 88307.05 | apoapsis 150267.68 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:23:49 | univest time 377365458.72 | altitude 150162.43 | apoapsis 150267.67 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:24:00 | univest time 377365469.02 | altitude 150283.41 | apoapsis 150290.07 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:24:10 | univest time 377365637.03 | altitude 150547.58 | apoapsis 150999.65 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:24:20 | univest time 377366232.40 | altitude 150972.41 | apoapsis 150999.65 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:24:30 | univest time 377366242.40 | altitude 151134.43 | apoapsis 417896.93 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:24:40 | univest time 377366252.42 | altitude 151820.20 | apoapsis 5089295.73 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:24:50 | univest time 377366325.59 | altitude 173219.65 | apoapsis 12236776.88 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:25:00 | univest time 377384319.38 | altitude 10930150.87 | apoapsis 12236776.88 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:25:10 | univest time 377384622.14 | altitude 2191332.81 | apoapsis -2278759.77 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:25:20 | univest time 377390131.61 | altitude 184045.14 | apoapsis -2278759.77 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:25:30 | univest time 377390437.92 | altitude 147564.14 | apoapsis -2278759.77 | stage_3_fuel 0.00 | stage_2_fuel 0.00
14:25:40 | univest time 377390447.92 | altitude 147490.05 | apoapsis -2278759.77 | stage_3_fuel 0.00 | stage_2_fuel 0.00
20:01:16 | univest time 377390483.60 | altitude 78.98 | apoapsis 78.98 | stage_3_fuel 2952.00 | stage_2_fuel 1413.00
20:01:26 | univest time 377390494.52 | altitude 357.81 | apoapsis 544.82 | stage_3_fuel 2651.94 | stage_2_fuel 1323.72
20:01:36 | univest time 377390528.52 | altitude 6563.17 | apoapsis 11594.55 | stage_3_fuel 1628.17 | stage_2_fuel 1019.10
20:01:46 | univest time 377390561.48 | altitude 21506.58 | apoapsis 45266.09 | stage_3_fuel 635.72 | stage_2_fuel 723.80
20:01:56 | univest time 377390593.24 | altitude 45532.94 | apoapsis 99076.86 | stage_3_fuel 0.00 | stage_2_fuel 439.25
20:02:06 | univest time 377390632.92 | altitude 72453.37 | apoapsis 139126.60 | stage_3_fuel 0.00 | stage_2_fuel 120.84
